epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.916,0.87586,4.1419,1.12718,0.17262,0.27922,0.11869,0.1056,0.48546,3.12043,0.87295,6.003e-05,6.003e-05,6.003e-05
2,29.2865,0.68957,2.5868,1.00709,0.32623,0.68051,0.53708,0.49932,0.47245,3.26618,0.84765,0.000124639,0.000124639,0.000124639
3,33.2437,0.70648,1.86296,1.02415,0.60343,0.69847,0.79871,0.73377,0.45386,1.99169,0.83733,0.000187047,0.000187047,0.000187047
4,36.81,0.61824,1.30645,0.94249,0.54719,0.73333,0.72887,0.66759,0.48453,1.97159,0.8552,0.000247254,0.000247254,0.000247254
5,40.382,0.61547,1.08254,0.92762,0.7315,0.78987,0.85858,0.7737,0.4904,1.03126,0.86184,0.000305259,0.000305259,0.000305259
6,44.7063,0.71209,1.12085,0.97823,0.69486,0.89186,0.90707,0.80378,0.52447,0.87242,0.87232,0.000361064,0.000361064,0.000361064
7,48.0158,0.63302,0.90525,0.93393,0.87831,0.83597,0.94734,0.84355,0.51164,0.76615,0.85562,0.000414667,0.000414667,0.000414667
8,51.6714,0.6437,0.79164,0.93013,0.79369,0.82733,0.88099,0.78655,0.53542,0.87008,0.86024,0.00046607,0.00046607,0.00046607
9,55.7025,0.63742,0.73834,0.93164,0.80414,0.86388,0.94644,0.83668,0.52888,0.67724,0.85922,0.000515271,0.000515271,0.000515271
10,59.4934,0.60576,0.69169,0.95455,0.85393,0.79364,0.92967,0.82352,0.51806,0.77087,0.88122,0.000562271,0.000562271,0.000562271
11,62.8332,0.60087,0.71018,0.94028,0.88953,0.8654,0.91567,0.80199,0.51385,0.67982,0.87302,0.000556945,0.000556945,0.000556945
12,66.1372,0.60195,0.70363,0.92391,0.85342,0.94811,0.96258,0.86782,0.52969,0.52317,0.88572,0.00054594,0.00054594,0.00054594
13,70.6366,0.64094,0.67972,0.92868,0.7314,0.93091,0.96257,0.85584,0.52551,0.67168,0.87603,0.000534934,0.000534934,0.000534934
14,74.0131,0.60656,0.69724,0.90803,0.90656,0.91644,0.98628,0.85687,0.55181,0.49591,0.8795,0.000523928,0.000523928,0.000523928
15,77.3311,0.60123,0.5926,0.94578,0.95514,0.95797,0.99136,0.86773,0.52806,0.40138,0.87838,0.000512923,0.000512923,0.000512923
16,80.7143,0.59738,0.55562,0.91452,0.84123,0.91533,0.96851,0.84714,0.5428,0.61961,0.88565,0.000501917,0.000501917,0.000501917
17,84.8333,0.5699,0.56512,0.93163,0.87266,0.90543,0.95642,0.85124,0.50358,0.53643,0.87235,0.000490912,0.000490912,0.000490912
18,88.1753,0.57822,0.52529,0.91492,0.86113,0.86585,0.96911,0.86066,0.48919,0.50483,0.86458,0.000479907,0.000479907,0.000479907
19,91.4765,0.61932,0.55539,0.97104,0.9022,0.91886,0.98357,0.86592,0.526,0.43906,0.88384,0.000468901,0.000468901,0.000468901
20,95.3422,0.54601,0.53537,0.94678,0.91098,0.96423,0.99132,0.88821,0.50085,0.41295,0.86698,0.000457895,0.000457895,0.000457895
21,99.1248,0.54433,0.52489,0.89781,0.88683,0.91427,0.95122,0.86113,0.47791,0.42375,0.8584,0.00044689,0.00044689,0.00044689
22,102.54,0.53685,0.5077,0.90382,0.93413,0.97052,0.9922,0.90051,0.4746,0.33563,0.86157,0.000435884,0.000435884,0.000435884
23,105.951,0.57866,0.52193,0.93196,0.94471,0.96097,0.99341,0.90098,0.46738,0.33517,0.86271,0.000424879,0.000424879,0.000424879
24,110.399,0.53337,0.46998,0.90846,0.93648,0.93197,0.98961,0.8836,0.48252,0.37239,0.86818,0.000413873,0.000413873,0.000413873
25,113.727,0.53676,0.46437,0.90514,0.93554,0.95879,0.99415,0.89468,0.49728,0.38459,0.8817,0.000402868,0.000402868,0.000402868
